date,state,house_median_value
1/1/2017,Arkansas,128500
1/1/2017,California,509400
1/1/2017,Colorado,348900
1/1/2017,Connecticut,273100
1/1/2017,Delaware,252800
1/1/2017,District of Columbia,607200
1/1/2017,Florida,214000
1/1/2017,Georgia,173700
1/1/2017,Hawaii,617400
1/1/2017,Idaho,207100
1/1/2017,Illinois,195300
1/1/2017,Indiana,141100
1/1/2017,Iowa,149100
1/1/2017,Kansas,150600
1/1/2017,Kentucky,141000
1/1/2017,Louisiana,162500
1/1/2017,Maine,191200
1/1/2017,Maryland,312500
1/1/2017,Massachusetts,385400
1/1/2017,Michigan,155700
1/1/2017,Minnesota,224000
1/1/2017,Mississippi,120200
1/1/2017,Missouri,156700
1/1/2017,Montana,231300
1/1/2017,Nebraska,155800
1/1/2017,Nevada,258200
1/1/2017,New Hampshire,263600
1/1/2017,New Jersey,334900
1/1/2017,New Mexico,171300
1/1/2017,New York,314500
1/1/2017,North Carolina,171200
1/1/2017,North Dakota,194700
1/1/2017,Ohio,144200
1/1/2017,Oklahoma,137400
1/1/2017,Oregon,319200
1/1/2017,Pennsylvania,181200
1/1/2017,Rhode Island,257800
1/1/2017,South Carolina,161800
1/1/2017,South Dakota,167600
1/1/2017,Tennessee,167500
1/1/2017,Texas,172200
1/1/2017,Utah,275100
1/1/2017,Vermont,226300
1/1/2017,Virginia,273400
1/1/2017,Washington,339000
1/1/2017,West Virginia,119800
1/1/2017,Wisconsin,178900
1/1/2017,Wyoming,214300
1/1/2017,Puerto Rico,109800
1/1/2017,United States,217600
1/1/2018,Illinois,203400
1/1/2018,Iowa,152000
1/1/2018,Missouri,162600
1/1/2018,Nevada,292200
1/1/2018,Pennsylvania,186000
1/1/2018,Utah,303300
1/1/2018,West Virginia,121300
1/1/2018,Colorado,373300
1/1/2018,Georgia,189900
1/1/2018,Idaho,233100
1/1/2018,Maryland,324800
1/1/2018,New Jersey,344000
1/1/2018,New Mexico,174700
1/1/2018,Ohio,151100
1/1/2018,Alaska,276100
1/1/2018,Florida,230600
1/1/2018,Hawaii,631700
1/1/2018,Massachusetts,400700
1/1/2018,South Carolina,170800
1/1/2018,District of Columbia,617900
1/1/2018,Maine,197500
1/1/2018,North Carolina,180600
1/1/2018,South Dakota,171500
1/1/2018,Alabama,147900
1/1/2018,Indiana,147300
1/1/2018,Kentucky,148100
1/1/2018,Louisiana,167300
1/1/2018,Tennessee,177500
1/1/2018,Vermont,233100
1/1/2018,Washington,373100
1/1/2018,Michigan,162500
1/1/2018,Nebraska,161800
1/1/2018,New Hampshire,270000
1/1/2018,Oklahoma,140000
1/1/2018,Oregon,341800
1/1/2018,Rhode Island,273800
1/1/2018,Wisconsin,188500
1/1/2018,Wyoming,230500
1/1/2018,Puerto Rico,110800
1/1/2018,Arkansas,133100
1/1/2018,California,546800
1/1/2018,Delaware,255300
1/1/2018,Kansas,159400
1/1/2018,Minnesota,235400
1/1/2018,Mississippi,123300
1/1/2018,Montana,249200
1/1/2018,Virginia,281700
1/1/2018,Arizona,241100
1/1/2018,Connecticut,277400
1/1/2018,New York,325500
1/1/2018,North Dakota,198700
1/1/2018,Texas,186000
1/1/2018,United States,229700
1/1/2019,Alabama,154000
1/1/2019,Alaska,281200
1/1/2019,Arizona,255900
1/1/2019,Arkansas,136200
1/1/2019,California,568500
1/1/2019,Colorado,394600
1/1/2019,Connecticut,280700
1/1/2019,Delaware,261700
1/1/2019,District of Columbia,646500
1/1/2019,Florida,245100
1/1/2019,Georgia,202500
1/1/2019,Hawaii,669200
1/1/2019,Idaho,255200
1/1/2019,Illinois,209100
1/1/2019,Indiana,156000
1/1/2019,Iowa,158900
1/1/2019,Kansas,163200
1/1/2019,Kentucky,151700
1/1/2019,Louisiana,172100
1/1/2019,Maine,200500
1/1/2019,Maryland,332500
1/1/2019,Massachusetts,418600
1/1/2019,Michigan,169600
1/1/2019,Minnesota,246700
1/1/2019,Mississippi,128200
1/1/2019,Missouri,168000
1/1/2019,Montana,253600
1/1/2019,Nebraska,172700
1/1/2019,Nevada,317800
1/1/2019,New Hampshire,281400
1/1/2019,New Jersey,348800
1/1/2019,New Mexico,180900
1/1/2019,New York,338700
1/1/2019,North Carolina,193200
1/1/2019,North Dakota,205400
1/1/2019,Ohio,157200
1/1/2019,Oklahoma,147000
1/1/2019,Oregon,354600
1/1/2019,Pennsylvania,192600
1/1/2019,Rhode Island,283000
1/1/2019,South Carolina,179800
1/1/2019,South Dakota,185000
1/1/2019,Tennessee,191900
1/1/2019,Texas,200400
1/1/2019,Utah,330300
1/1/2019,Vermont,233200
1/1/2019,Virginia,288800
1/1/2019,Washington,387600
1/1/2019,West Virginia,124600
1/1/2019,Wisconsin,197200
1/1/2019,Wyoming,235200
1/1/2019,Puerto Rico,110300
1/1/2019,United States,240500
1/1/2011,Alabama,122700
1/1/2011,Alaska,238300
1/1/2011,Arizona,153800
1/1/2011,Arkansas,106300
1/1/2011,California,355600
1/1/2011,Colorado,233700
1/1/2011,Connecticut,278700
1/1/2011,Delaware,236900
1/1/2011,District of Columbia,422400
1/1/2011,Florida,151000
1/1/2011,Georgia,147100
1/1/2011,Hawaii,487400
1/1/2011,Idaho,158800
1/1/2011,Illinois,178500
1/1/2011,Indiana,122400
1/1/2011,Iowa,123400
1/1/2011,Kansas,128300
1/1/2011,Kentucky,120600
1/1/2011,Louisiana,139400
1/1/2011,Maine,171600
1/1/2011,Maryland,287100
1/1/2011,Massachusetts,326300
1/1/2011,Michigan,118100
1/1/2011,Minnesota,183500
1/1/2011,Mississippi,99900
1/1/2011,Missouri,136900
1/1/2011,Montana,184100
1/1/2011,Nebraska,127400
1/1/2011,Nevada,158000
1/1/2011,New Hampshire,237500
1/1/2011,New Jersey,324900
1/1/2011,New Mexico,159000
1/1/2011,New York,285300
1/1/2011,North Carolina,153700
1/1/2011,North Dakota,128600
1/1/2011,Ohio,129600
1/1/2011,Oklahoma,112600
1/1/2011,Oregon,232900
1/1/2011,Pennsylvania,164800
1/1/2011,Rhode Island,245500
1/1/2011,South Carolina,136000
1/1/2011,South Dakota,131400
1/1/2011,Tennessee,138300
1/1/2011,Texas,127700
1/1/2011,Utah,207500
1/1/2011,Vermont,213700
1/1/2011,Virginia,243100
1/1/2011,Washington,256300
1/1/2011,West Virginia,99300
1/1/2011,Wisconsin,166700
1/1/2011,Wyoming,179900
1/1/2011,Puerto Rico,120300
1/1/2011,United States,173600
